"","time","value","comment"
"1",2013-03-01 00:00:00,1508.75,"closing_time_past;prev_time=>2013-03-01 00:00:00,prev_stock_market=>CME"
"2",2013-03-01 00:05:00,1508.75,"closing_time_past;prev_time=>2013-03-01 00:00:00,prev_stock_market=>CME"
"3",2013-03-01 00:10:00,1510,"closing_time_past;prev_time=>2013-03-01 00:10:00,prev_stock_market=>CME"
"4",2013-03-01 00:15:00,1510,"closing_time_past;prev_time=>2013-03-01 00:10:00,prev_stock_market=>CME"
"5",2013-03-01 00:20:00,1510.5,"closing_time_past;prev_time=>2013-03-01 00:20:00,prev_stock_market=>CME"
"6",2013-03-01 00:25:00,1510.5,"closing_time_past;prev_time=>2013-03-01 00:20:00,prev_stock_market=>CME"
"7",2013-03-01 00:30:00,1511,"closing_time_past;prev_time=>2013-03-01 00:30:00,prev_stock_market=>CME"
"8",2013-03-01 00:35:00,1511,"closing_time_past;prev_time=>2013-03-01 00:30:00,prev_stock_market=>CME"
"9",2013-03-01 00:40:00,1510.75,"closing_time_past;prev_time=>2013-03-01 00:40:00,prev_stock_market=>CME"
"10",2013-03-01 00:45:00,1510.75,"closing_time_past;prev_time=>2013-03-01 00:40:00,prev_stock_market=>CME"
"11",2013-03-01 00:50:00,1509.75,"closing_time_past;prev_time=>2013-03-01 00:50:00,prev_stock_market=>CME"
"12",2013-03-01 00:55:00,1509.75,"closing_time_past;prev_time=>2013-03-01 00:50:00,prev_stock_market=>CME"
"13",2013-03-01 01:00:00,1509,"closing_time_past;prev_time=>2013-03-01 01:00:00,prev_stock_market=>CME"
"14",2013-03-01 01:05:00,1509,"closing_time_past;prev_time=>2013-03-01 01:00:00,prev_stock_market=>CME"
"15",2013-03-01 01:10:00,1509.5,"closing_time_past;prev_time=>2013-03-01 01:09:27.565,prev_stock_market=>XCME"
"16",2013-03-01 01:15:00,1509.5,"closing_time_past;prev_time=>2013-03-01 01:09:27.565,prev_stock_market=>XCME"
"17",2013-03-01 01:20:00,1509.25,"closing_time_past;prev_time=>2013-03-01 01:20:00,prev_stock_market=>CME"
"18",2013-03-01 01:25:00,1509.25,"closing_time_past;prev_time=>2013-03-01 01:20:00,prev_stock_market=>CME"
"19",2013-03-01 01:30:00,1508.75,"closing_time_past;prev_time=>2013-03-01 01:30:00,prev_stock_market=>CME"
"20",2013-03-01 01:35:00,1508.75,"closing_time_past;prev_time=>2013-03-01 01:30:00,prev_stock_market=>CME"
"21",2013-03-01 01:40:00,1509.25,"closing_time_past;prev_time=>2013-03-01 01:40:00,prev_stock_market=>CME"
"22",2013-03-01 01:45:00,1509.25,"closing_time_past;prev_time=>2013-03-01 01:40:00,prev_stock_market=>CME"
"23",2013-03-01 01:50:00,1509,"closing_time_past;prev_time=>2013-03-01 01:49:49.039,prev_stock_market=>XCME"
"24",2013-03-01 01:55:00,1509,"closing_time_past;prev_time=>2013-03-01 01:49:49.039,prev_stock_market=>XCME"
"25",2013-03-01 02:00:00,1509.75,"closing_time_past;prev_time=>2013-03-01 02:00:00,prev_stock_market=>CME"
"26",2013-03-01 02:05:00,1509.75,"closing_time_past;prev_time=>2013-03-01 02:00:00,prev_stock_market=>CME"
"27",2013-03-01 02:10:00,1509.75,"closing_time_past;prev_time=>2013-03-01 02:09:48.596,prev_stock_market=>XCME"
"28",2013-03-01 02:15:00,1509.75,"closing_time_past;prev_time=>2013-03-01 02:09:48.596,prev_stock_market=>XCME"
"29",2013-03-01 02:20:00,1510,"closing_time_past;prev_time=>2013-03-01 02:19:49.124,prev_stock_market=>XCME"
"30",2013-03-01 02:25:00,1510,"closing_time_past;prev_time=>2013-03-01 02:19:49.124,prev_stock_market=>XCME"
"31",2013-03-01 02:30:00,1510,"closing_time_past;prev_time=>2013-03-01 02:30:00,prev_stock_market=>CME"
"32",2013-03-01 02:35:00,1510,"closing_time_past;prev_time=>2013-03-01 02:30:00,prev_stock_market=>CME"
"33",2013-03-01 02:40:00,1510,"closing_time_past;prev_time=>2013-03-01 02:40:00,prev_stock_market=>CME"
"34",2013-03-01 02:45:00,1510,"closing_time_past;prev_time=>2013-03-01 02:40:00,prev_stock_market=>CME"
"35",2013-03-01 02:50:00,1510.25,"closing_time_past;prev_time=>2013-03-01 02:49:44.872,prev_stock_market=>XCME"
"36",2013-03-01 02:55:00,1510.25,"closing_time_past;prev_time=>2013-03-01 02:49:44.872,prev_stock_market=>XCME"
"37",2013-03-01 03:00:00,1510.25,"closing_time_past;prev_time=>2013-03-01 03:00:00,prev_stock_market=>CME"
"38",2013-03-01 03:05:00,1510.25,"closing_time_past;prev_time=>2013-03-01 03:00:00,prev_stock_market=>CME"
"39",2013-03-01 03:10:00,1510,"closing_time_past;prev_time=>2013-03-01 03:09:43.728,prev_stock_market=>XCME"
"40",2013-03-01 03:15:00,1510,"closing_time_past;prev_time=>2013-03-01 03:09:43.728,prev_stock_market=>XCME"
"41",2013-03-01 03:20:00,1510.25,"closing_time_past;prev_time=>2013-03-01 03:20:00,prev_stock_market=>CME"
"42",2013-03-01 03:25:00,1510.25,"closing_time_past;prev_time=>2013-03-01 03:20:00,prev_stock_market=>CME"
"43",2013-03-01 03:30:00,1510.75,"closing_time_past;prev_time=>2013-03-01 03:30:00,prev_stock_market=>CME"
"44",2013-03-01 03:35:00,1510.75,"closing_time_past;prev_time=>2013-03-01 03:30:00,prev_stock_market=>CME"
"45",2013-03-01 03:40:00,1510.5,"closing_time_past;prev_time=>2013-03-01 03:40:00,prev_stock_market=>CME"
"46",2013-03-01 03:45:00,1510.5,"closing_time_past;prev_time=>2013-03-01 03:40:00,prev_stock_market=>CME"
"47",2013-03-01 03:50:00,1511,"closing_time_past;prev_time=>2013-03-01 03:50:00,prev_stock_market=>CME"
"48",2013-03-01 03:55:00,1511,"closing_time_past;prev_time=>2013-03-01 03:50:00,prev_stock_market=>CME"
"49",2013-03-01 04:00:00,1511,"closing_time_past;prev_time=>2013-03-01 03:59:25.795,prev_stock_market=>XCME"
"50",2013-03-01 04:05:00,1511,"closing_time_past;prev_time=>2013-03-01 03:59:25.795,prev_stock_market=>XCME"
"51",2013-03-01 04:10:00,1511.25,"closing_time_past;prev_time=>2013-03-01 04:10:00,prev_stock_market=>CME"
"52",2013-03-01 04:15:00,1511.25,"closing_time_past;prev_time=>2013-03-01 04:10:00,prev_stock_market=>CME"
"53",2013-03-01 04:20:00,1511.25,"closing_time_past;prev_time=>2013-03-01 04:19:37.103,prev_stock_market=>XCME"
"54",2013-03-01 04:25:00,1511.25,"closing_time_past;prev_time=>2013-03-01 04:19:37.103,prev_stock_market=>XCME"
"55",2013-03-01 04:30:00,1511.5,"closing_time_past;prev_time=>2013-03-01 04:30:00,prev_stock_market=>CME"
"56",2013-03-01 04:35:00,1511.5,"closing_time_past;prev_time=>2013-03-01 04:30:00,prev_stock_market=>CME"
"57",2013-03-01 04:40:00,1512,"closing_time_past;prev_time=>2013-03-01 04:39:50.839,prev_stock_market=>XCME"
"58",2013-03-01 04:45:00,1512,"closing_time_past;prev_time=>2013-03-01 04:39:50.839,prev_stock_market=>XCME"
"59",2013-03-01 04:50:00,1511.25,"closing_time_past;prev_time=>2013-03-01 04:50:00,prev_stock_market=>CME"
"60",2013-03-01 04:55:00,1511.25,"closing_time_past;prev_time=>2013-03-01 04:50:00,prev_stock_market=>CME"
"61",2013-03-01 05:00:00,1511,"closing_time_past;prev_time=>2013-03-01 05:00:00,prev_stock_market=>CME"
"62",2013-03-01 05:05:00,1511,"closing_time_past;prev_time=>2013-03-01 05:00:00,prev_stock_market=>CME"
"63",2013-03-01 05:10:00,1511.75,"closing_time_past;prev_time=>2013-03-01 05:10:00,prev_stock_market=>CME"
"64",2013-03-01 05:15:00,1511.75,"closing_time_past;prev_time=>2013-03-01 05:10:00,prev_stock_market=>CME"
"65",2013-03-01 05:20:00,1511.5,"closing_time_past;prev_time=>2013-03-01 05:19:41.78,prev_stock_market=>XCME"
"66",2013-03-01 05:25:00,1511.5,"closing_time_past;prev_time=>2013-03-01 05:19:41.78,prev_stock_market=>XCME"
"67",2013-03-01 05:30:00,1511.5,"closing_time_past;prev_time=>2013-03-01 05:30:00,prev_stock_market=>CME"
"68",2013-03-01 05:35:00,1511.5,"closing_time_past;prev_time=>2013-03-01 05:30:00,prev_stock_market=>CME"
"69",2013-03-01 05:40:00,1511.5,"closing_time_past;prev_time=>2013-03-01 05:40:00,prev_stock_market=>CME"
"70",2013-03-01 05:45:00,1511.5,"closing_time_past;prev_time=>2013-03-01 05:40:00,prev_stock_market=>CME"
"71",2013-03-01 05:50:00,1511.75,"closing_time_past;prev_time=>2013-03-01 05:49:30.83,prev_stock_market=>XCME"
"72",2013-03-01 05:55:00,1511.75,"closing_time_past;prev_time=>2013-03-01 05:49:30.83,prev_stock_market=>XCME"
"73",2013-03-01 06:00:00,1511.75,"closing_time_past;prev_time=>2013-03-01 06:00:00,prev_stock_market=>CME"
"74",2013-03-01 06:05:00,1511.75,"closing_time_past;prev_time=>2013-03-01 06:00:00,prev_stock_market=>CME"
"75",2013-03-01 06:10:00,1511.75,"closing_time_past;prev_time=>2013-03-01 06:09:40.666,prev_stock_market=>XCME"
"76",2013-03-01 06:15:00,1511.75,"closing_time_past;prev_time=>2013-03-01 06:09:40.666,prev_stock_market=>XCME"
"77",2013-03-01 06:20:00,1511.75,"closing_time_past;prev_time=>2013-03-01 06:20:00,prev_stock_market=>CME"
"78",2013-03-01 06:25:00,1511.75,"closing_time_past;prev_time=>2013-03-01 06:20:00,prev_stock_market=>CME"
"79",2013-03-01 06:30:00,1511.5,"closing_time_past;prev_time=>2013-03-01 06:29:46.798,prev_stock_market=>XCME"
"80",2013-03-01 06:35:00,1511.5,"closing_time_past;prev_time=>2013-03-01 06:29:46.798,prev_stock_market=>XCME"
"81",2013-03-01 06:40:00,1511.75,"closing_time_past;prev_time=>2013-03-01 06:40:00,prev_stock_market=>CME"
"82",2013-03-01 06:45:00,1511.75,"closing_time_past;prev_time=>2013-03-01 06:40:00,prev_stock_market=>CME"
"83",2013-03-01 06:50:00,1511.5,"closing_time_past;prev_time=>2013-03-01 06:50:00,prev_stock_market=>CME"
"84",2013-03-01 06:55:00,1511.5,"closing_time_past;prev_time=>2013-03-01 06:50:00,prev_stock_market=>CME"
"85",2013-03-01 07:00:00,1510.5,"closing_time_past;prev_time=>2013-03-01 07:00:00,prev_stock_market=>CME"
"86",2013-03-01 07:05:00,1510.5,"closing_time_past;prev_time=>2013-03-01 07:00:00,prev_stock_market=>CME"
"87",2013-03-01 07:10:00,1510.5,"closing_time_past;prev_time=>2013-03-01 07:10:00,prev_stock_market=>CME"
"88",2013-03-01 07:15:00,1510.5,"closing_time_past;prev_time=>2013-03-01 07:10:00,prev_stock_market=>CME"
"89",2013-03-01 07:20:00,1509.75,"closing_time_past;prev_time=>2013-03-01 07:20:00,prev_stock_market=>CME"
"90",2013-03-01 07:25:00,1509.75,"closing_time_past;prev_time=>2013-03-01 07:20:00,prev_stock_market=>CME"
"91",2013-03-01 07:30:00,1508.75,"closing_time_past;prev_time=>2013-03-01 07:30:00,prev_stock_market=>CME"
"92",2013-03-01 07:35:00,1508.75,"closing_time_past;prev_time=>2013-03-01 07:30:00,prev_stock_market=>CME"
"93",2013-03-01 07:40:00,1509.25,"closing_time_past;prev_time=>2013-03-01 07:40:00,prev_stock_market=>CME"
"94",2013-03-01 07:45:00,1509.25,"closing_time_past;prev_time=>2013-03-01 07:40:00,prev_stock_market=>CME"
"95",2013-03-01 07:50:00,1509.75,"closing_time_past;prev_time=>2013-03-01 07:50:00,prev_stock_market=>CME"
"96",2013-03-01 07:55:00,1509.75,"closing_time_past;prev_time=>2013-03-01 07:50:00,prev_stock_market=>CME"
"97",2013-03-01 08:00:00,1510.25,"closing_time_past;prev_time=>2013-03-01 08:00:00,prev_stock_market=>CME"
"98",2013-03-01 08:05:00,1510.25,"closing_time_past;prev_time=>2013-03-01 08:00:00,prev_stock_market=>CME"
"99",2013-03-01 08:10:00,1511.25,"closing_time_past;prev_time=>2013-03-01 08:10:00,prev_stock_market=>CME"
"100",2013-03-01 08:15:00,1511.25,"closing_time_past;prev_time=>2013-03-01 08:10:00,prev_stock_market=>CME"
"101",2013-03-01 08:20:00,1512.75,"closing_time_past;prev_time=>2013-03-01 08:20:00,prev_stock_market=>CME"
"102",2013-03-01 08:25:00,1512.75,"closing_time_past;prev_time=>2013-03-01 08:20:00,prev_stock_market=>CME"
"103",2013-03-01 08:30:00,1512.25,"closing_time_past;prev_time=>2013-03-01 08:30:00,prev_stock_market=>CME"
"104",2013-03-01 08:35:00,1512.25,"closing_time_past;prev_time=>2013-03-01 08:30:00,prev_stock_market=>CME"
"105",2013-03-01 08:40:00,1512.5,"closing_time_past;prev_time=>2013-03-01 08:40:00,prev_stock_market=>CME"
"106",2013-03-01 08:45:00,1512.5,"closing_time_past;prev_time=>2013-03-01 08:40:00,prev_stock_market=>CME"
"107",2013-03-01 08:50:00,1512.5,"closing_time_past;prev_time=>2013-03-01 08:49:48.036,prev_stock_market=>XCME"
"108",2013-03-01 08:55:00,1512.5,"closing_time_past;prev_time=>2013-03-01 08:49:48.036,prev_stock_market=>XCME"
"109",2013-03-01 09:00:00,1513,"closing_time_past;prev_time=>2013-03-01 08:59:50.939,prev_stock_market=>XCME"
"110",2013-03-01 09:05:00,1513,"closing_time_past;prev_time=>2013-03-01 08:59:50.939,prev_stock_market=>XCME"
"111",2013-03-01 09:10:00,1512.75,"closing_time_past;prev_time=>2013-03-01 09:10:00,prev_stock_market=>CME"
"112",2013-03-01 09:15:00,1512.75,"closing_time_past;prev_time=>2013-03-01 09:10:00,prev_stock_market=>CME"
"113",2013-03-01 09:20:00,1512.25,"closing_time_past;prev_time=>2013-03-01 09:20:00,prev_stock_market=>CME"
"114",2013-03-01 09:25:00,1512.25,"closing_time_past;prev_time=>2013-03-01 09:20:00,prev_stock_market=>CME"
"115",2013-03-01 09:30:00,1511.5,"closing_time_past;prev_time=>2013-03-01 09:30:00,prev_stock_market=>CME"
"116",2013-03-01 09:35:00,1511.5,"closing_time_past;prev_time=>2013-03-01 09:30:00,prev_stock_market=>CME"
"117",2013-03-01 09:40:00,1510.75,"closing_time_past;prev_time=>2013-03-01 09:40:00,prev_stock_market=>CME"
"118",2013-03-01 09:45:00,1510.75,"closing_time_past;prev_time=>2013-03-01 09:40:00,prev_stock_market=>CME"
"119",2013-03-01 09:50:00,1510.75,"closing_time_past;prev_time=>2013-03-01 09:50:00,prev_stock_market=>CME"
"120",2013-03-01 09:55:00,1510.75,"closing_time_past;prev_time=>2013-03-01 09:50:00,prev_stock_market=>CME"
"121",2013-03-01 10:00:00,1509,"closing_time_past;prev_time=>2013-03-01 10:00:00,prev_stock_market=>CME"
"122",2013-03-01 10:05:00,1509,"closing_time_past;prev_time=>2013-03-01 10:00:00,prev_stock_market=>CME"
"123",2013-03-01 10:10:00,1509.25,"closing_time_past;prev_time=>2013-03-01 10:10:00,prev_stock_market=>CME"
"124",2013-03-01 10:15:00,1509.25,"closing_time_past;prev_time=>2013-03-01 10:10:00,prev_stock_market=>CME"
"125",2013-03-01 10:20:00,1509.25,"closing_time_past;prev_time=>2013-03-01 10:20:00,prev_stock_market=>CME"
"126",2013-03-01 10:25:00,1509.25,"closing_time_past;prev_time=>2013-03-01 10:20:00,prev_stock_market=>CME"
"127",2013-03-01 10:30:00,1509.25,"closing_time_past;prev_time=>2013-03-01 10:20:00,prev_stock_market=>CME"
"128",2013-03-01 10:35:00,1509.25,"closing_time_past;prev_time=>2013-03-01 10:20:00,prev_stock_market=>CME"
"129",2013-03-01 10:40:00,1509,"closing_time_past;prev_time=>2013-03-01 10:40:00,prev_stock_market=>CME"
"130",2013-03-01 10:45:00,1509,"closing_time_past;prev_time=>2013-03-01 10:40:00,prev_stock_market=>CME"
"131",2013-03-01 10:50:00,1509,"closing_time_past;prev_time=>2013-03-01 10:50:00,prev_stock_market=>CME"
"132",2013-03-01 10:55:00,1509,"closing_time_past;prev_time=>2013-03-01 10:50:00,prev_stock_market=>CME"
"133",2013-03-01 11:00:00,1509.25,"closing_time_past;prev_time=>2013-03-01 11:00:00,prev_stock_market=>CME"
"134",2013-03-01 11:05:00,1509.25,"closing_time_past;prev_time=>2013-03-01 11:00:00,prev_stock_market=>CME"
"135",2013-03-01 11:10:00,1508.25,"closing_time_past;prev_time=>2013-03-01 11:10:00,prev_stock_market=>CME"
"136",2013-03-01 11:15:00,1508.25,"closing_time_past;prev_time=>2013-03-01 11:10:00,prev_stock_market=>CME"
"137",2013-03-01 11:20:00,1507.5,"closing_time_past;prev_time=>2013-03-01 11:20:00,prev_stock_market=>CME"
"138",2013-03-01 11:25:00,1507.5,"closing_time_past;prev_time=>2013-03-01 11:20:00,prev_stock_market=>CME"
"139",2013-03-01 11:30:00,1507.25,"closing_time_past;prev_time=>2013-03-01 11:30:00,prev_stock_market=>CME"
"140",2013-03-01 11:35:00,1507.25,"closing_time_past;prev_time=>2013-03-01 11:30:00,prev_stock_market=>CME"
"141",2013-03-01 11:40:00,1507.75,"closing_time_past;prev_time=>2013-03-01 11:40:00,prev_stock_market=>CME"
"142",2013-03-01 11:45:00,1507.75,"closing_time_past;prev_time=>2013-03-01 11:40:00,prev_stock_market=>CME"
"143",2013-03-01 11:50:00,1507.75,"closing_time_past;prev_time=>2013-03-01 11:50:00,prev_stock_market=>CME"
"144",2013-03-01 11:55:00,1507.75,"closing_time_past;prev_time=>2013-03-01 11:50:00,prev_stock_market=>CME"
"145",2013-03-01 12:00:00,1508,"closing_time_past;prev_time=>2013-03-01 12:00:00,prev_stock_market=>CME"
"146",2013-03-01 12:05:00,1508,"closing_time_past;prev_time=>2013-03-01 12:00:00,prev_stock_market=>CME"
"147",2013-03-01 12:10:00,1507.25,"closing_time_past;prev_time=>2013-03-01 12:10:00,prev_stock_market=>CME"
"148",2013-03-01 12:15:00,1507.25,"closing_time_past;prev_time=>2013-03-01 12:10:00,prev_stock_market=>CME"
"149",2013-03-01 12:20:00,1504.5,"closing_time_past;prev_time=>2013-03-01 12:20:00,prev_stock_market=>CME"
"150",2013-03-01 12:25:00,1504.5,"closing_time_past;prev_time=>2013-03-01 12:20:00,prev_stock_market=>CME"
"151",2013-03-01 12:30:00,1505,"closing_time_past;prev_time=>2013-03-01 12:30:00,prev_stock_market=>CME"
"152",2013-03-01 12:35:00,1505,"closing_time_past;prev_time=>2013-03-01 12:30:00,prev_stock_market=>CME"
"153",2013-03-01 12:40:00,1506,"closing_time_past;prev_time=>2013-03-01 12:40:00,prev_stock_market=>CME"
"154",2013-03-01 12:45:00,1506,"closing_time_past;prev_time=>2013-03-01 12:40:00,prev_stock_market=>CME"
"155",2013-03-01 12:50:00,1505.5,"closing_time_past;prev_time=>2013-03-01 12:50:00,prev_stock_market=>CME"
"156",2013-03-01 12:55:00,1505.5,"closing_time_past;prev_time=>2013-03-01 12:50:00,prev_stock_market=>CME"
"157",2013-03-01 13:00:00,1503.75,"closing_time_past;prev_time=>2013-03-01 13:00:00,prev_stock_market=>CME"
"158",2013-03-01 13:05:00,1503.75,"closing_time_past;prev_time=>2013-03-01 13:00:00,prev_stock_market=>CME"
"159",2013-03-01 13:10:00,1504.75,"closing_time_past;prev_time=>2013-03-01 13:09:53.988,prev_stock_market=>XCME"
"160",2013-03-01 13:15:00,1504.75,"closing_time_past;prev_time=>2013-03-01 13:09:53.988,prev_stock_market=>XCME"
"161",2013-03-01 13:20:00,1505,"closing_time_past;prev_time=>2013-03-01 13:20:00,prev_stock_market=>CME"
"162",2013-03-01 13:25:00,1505,"closing_time_past;prev_time=>2013-03-01 13:20:00,prev_stock_market=>CME"
"163",2013-03-01 13:30:00,1504.25,"closing_time_past;prev_time=>2013-03-01 13:30:00,prev_stock_market=>CME"
"164",2013-03-01 13:35:00,1504.25,"closing_time_past;prev_time=>2013-03-01 13:30:00,prev_stock_market=>CME"
"165",2013-03-01 13:40:00,1504.75,"closing_time_past;prev_time=>2013-03-01 13:40:00,prev_stock_market=>CME"
"166",2013-03-01 13:45:00,1504.75,"closing_time_past;prev_time=>2013-03-01 13:40:00,prev_stock_market=>CME"
