"","time","value"
"1",2013-03-01 00:00:00,1508.75
"2",2013-03-01 00:01:00,1509
"3",2013-03-01 00:09:47,1509.75
"4",2013-03-01 00:10:00,1510
"5",2013-03-01 00:10:00,1510.5
"6",2013-03-01 00:19:43,1510.25
"7",2013-03-01 00:20:00,1510.5
"8",2013-03-01 00:21:00,1510.25
"9",2013-03-01 00:29:41,1510.75
"10",2013-03-01 00:30:00,1511
"11",2013-03-01 00:32:00,1510.75
"12",2013-03-01 00:39:36,1511
"13",2013-03-01 00:40:00,1510.75
"14",2013-03-01 00:41:00,1511
"15",2013-03-01 00:49:47,1509.75
"16",2013-03-01 00:50:00,1509.75
"17",2013-03-01 00:51:00,1509.75
"18",2013-03-01 00:59:48,1509
"19",2013-03-01 01:00:00,1509
"20",2013-03-01 01:01:00,1509.25
"21",2013-03-01 01:09:00,1509.5
"22",2013-03-01 01:09:27,1509.5
"23",2013-03-01 01:11:00,1509.25
"24",2013-03-01 01:19:28,1509.25
"25",2013-03-01 01:20:00,1509.25
"26",2013-03-01 01:20:00,1509.25
"27",2013-03-01 01:29:47,1508.75
"28",2013-03-01 01:30:00,1508.75
"29",2013-03-01 01:31:00,1508.5
"30",2013-03-01 01:39:43,1509.25
"31",2013-03-01 01:40:00,1509.25
"32",2013-03-01 01:41:00,1509
"33",2013-03-01 01:49:00,1509
"34",2013-03-01 01:49:49,1509
"35",2013-03-01 01:51:00,1509.5
"36",2013-03-01 01:59:33,1509.75
"37",2013-03-01 02:00:00,1509.75
"38",2013-03-01 02:00:00,1509.75
"39",2013-03-01 02:09:00,1509.5
"40",2013-03-01 02:09:48,1509.75
"41",2013-03-01 02:10:00,1510
"42",2013-03-01 02:19:00,1510
"43",2013-03-01 02:19:49,1510
"44",2013-03-01 02:21:00,1509.75
"45",2013-03-01 02:29:20,1510
"46",2013-03-01 02:30:00,1510
"47",2013-03-01 02:31:00,1510
"48",2013-03-01 02:39:32,1510
"49",2013-03-01 02:40:00,1510
"50",2013-03-01 02:41:00,1510
"51",2013-03-01 02:49:00,1510.25
"52",2013-03-01 02:49:44,1510.25
"53",2013-03-01 02:51:00,1510.25
"54",2013-03-01 02:59:48,1510.25
"55",2013-03-01 03:00:00,1510.25
"56",2013-03-01 03:01:00,1510.25
"57",2013-03-01 03:09:00,1510
"58",2013-03-01 03:09:43,1510
"59",2013-03-01 03:10:00,1510
"60",2013-03-01 03:19:48,1510.25
"61",2013-03-01 03:20:00,1510.25
"62",2013-03-01 03:21:00,1510
"63",2013-03-01 03:29:49,1510.75
"64",2013-03-01 03:30:00,1510.75
"65",2013-03-01 03:31:00,1510.5
"66",2013-03-01 03:39:07,1510.75
"67",2013-03-01 03:40:00,1510.5
"68",2013-03-01 03:41:00,1510.75
"69",2013-03-01 03:49:50,1511
"70",2013-03-01 03:50:00,1511
"71",2013-03-01 03:51:00,1511.25
"72",2013-03-01 03:59:00,1511
"73",2013-03-01 03:59:25,1511
"74",2013-03-01 04:00:00,1511.25
"75",2013-03-01 04:09:20,1511
"76",2013-03-01 04:10:00,1511.25
"77",2013-03-01 04:11:00,1511.25
"78",2013-03-01 04:19:00,1511.25
"79",2013-03-01 04:19:37,1511.25
"80",2013-03-01 04:29:47,1511.75
"81",2013-03-01 04:30:00,1511.5
"82",2013-03-01 04:39:00,1512
"83",2013-03-01 04:39:50,1512
"84",2013-03-01 04:49:49,1511.25
"85",2013-03-01 04:50:00,1511.25
"86",2013-03-01 04:59:37,1511.25
"87",2013-03-01 05:00:00,1511
"88",2013-03-01 05:01:00,1511
"89",2013-03-01 05:09:11,1511.75
"90",2013-03-01 05:10:00,1511.75
"91",2013-03-01 05:11:00,1511.5
"92",2013-03-01 05:19:00,1511.5
"93",2013-03-01 05:19:41,1511.5
"94",2013-03-01 05:21:00,1511.75
"95",2013-03-01 05:29:44,1511.5
"96",2013-03-01 05:30:00,1511.5
"97",2013-03-01 05:31:00,1511.75
"98",2013-03-01 05:37:20,1511.5
"99",2013-03-01 05:40:00,1511.5
"100",2013-03-01 05:40:00,1511.75
"101",2013-03-01 05:49:00,1511.75
"102",2013-03-01 05:49:30,1511.75
"103",2013-03-01 05:51:00,1511.75
"104",2013-03-01 05:59:45,1511.75
"105",2013-03-01 06:00:00,1511.75
"106",2013-03-01 06:01:00,1511.5
"107",2013-03-01 06:09:00,1511.75
"108",2013-03-01 06:09:40,1511.75
"109",2013-03-01 06:11:00,1511.75
"110",2013-03-01 06:19:37,1511.75
"111",2013-03-01 06:20:00,1511.75
"112",2013-03-01 06:21:00,1511.5
"113",2013-03-01 06:29:00,1511.5
"114",2013-03-01 06:29:46,1511.5
"115",2013-03-01 06:31:00,1511.75
"116",2013-03-01 06:39:39,1511.75
"117",2013-03-01 06:40:00,1511.75
"118",2013-03-01 06:41:00,1511.75
"119",2013-03-01 06:49:50,1511.5
"120",2013-03-01 06:50:00,1511.5
"121",2013-03-01 06:51:00,1511.5
"122",2013-03-01 06:59:42,1510.5
"123",2013-03-01 07:00:00,1510.5
"124",2013-03-01 07:00:00,1510.25
"125",2013-03-01 07:09:38,1510.5
"126",2013-03-01 07:10:00,1510.5
"127",2013-03-01 07:11:00,1510.25
"128",2013-03-01 07:19:46,1510
"129",2013-03-01 07:20:00,1509.75
"130",2013-03-01 07:21:00,1509.75
"131",2013-03-01 07:29:49,1509
"132",2013-03-01 07:30:00,1508.75
"133",2013-03-01 07:31:00,1509
"134",2013-03-01 07:39:52,1509.5
"135",2013-03-01 07:40:00,1509.25
"136",2013-03-01 07:40:00,1509.25
"137",2013-03-01 07:49:52,1509.5
"138",2013-03-01 07:50:00,1509.75
"139",2013-03-01 07:51:00,1509.25
"140",2013-03-01 07:59:52,1510.5
"141",2013-03-01 08:00:00,1510.25
"142",2013-03-01 08:01:00,1510.25
"143",2013-03-01 08:09:51,1511.25
"144",2013-03-01 08:10:00,1511.25
"145",2013-03-01 08:11:00,1511
"146",2013-03-01 08:19:52,1512.75
"147",2013-03-01 08:20:00,1512.75
"148",2013-03-01 08:21:00,1512.75
"149",2013-03-01 08:29:37,1512
"150",2013-03-01 08:30:00,1512.25
"151",2013-03-01 08:31:00,1512.5
"152",2013-03-01 08:39:51,1512.25
"153",2013-03-01 08:40:00,1512.5
"154",2013-03-01 08:41:00,1511.75
"155",2013-03-01 08:49:48,1512.5
"156",2013-03-01 08:50:00,1513
"157",2013-03-01 08:59:50,1513
"158",2013-03-01 09:01:00,1512.25
"159",2013-03-01 09:09:43,1512.75
"160",2013-03-01 09:10:00,1512.75
"161",2013-03-01 09:11:00,1513
"162",2013-03-01 09:19:52,1512.5
"163",2013-03-01 09:20:00,1512.25
"164",2013-03-01 09:21:00,1512.25
"165",2013-03-01 09:29:49,1511.5
"166",2013-03-01 09:30:00,1511.5
"167",2013-03-01 09:31:00,1511
"168",2013-03-01 09:39:45,1510.75
"169",2013-03-01 09:40:00,1510.75
"170",2013-03-01 09:41:00,1510.75
"171",2013-03-01 09:50:00,1510.75
"172",2013-03-01 09:50:00,1510.75
"173",2013-03-01 09:59:53,1509
"174",2013-03-01 10:00:00,1509
"175",2013-03-01 10:00:00,1508.5
"176",2013-03-01 10:10:00,1509.25
"177",2013-03-01 10:11:00,1509
"178",2013-03-01 10:19:53,1509.5
"179",2013-03-01 10:20:00,1509.25
"180",2013-03-01 10:21:00,1509.25
"181",2013-03-01 10:30:00,1509
"182",2013-03-01 10:39:54,1508.5
"183",2013-03-01 10:40:00,1509
